Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,my fake party school,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California, _Santa_Barbara",https://ewscripps.brightspotcdn.com/dims4/default/051e9d1/2147483647/strip/true/crop/1040x585+3+0/resize/1280x720!/quality/90/?url=https%3A%2F%2Fewscripps.brightspotcdn.com%2F86%2F9f%2F3cd63bb24857a14853688d0074bf%2Fucsb-uc-santa-barbara.PNG
shanghai people square,hometown!!!,31.228611,121.474722,https://tools.wmflabs.org/geohack/geohack.php?pagename=Shanghai&params=31_13_43_N_121_28_29_E_type:adm1st_region:CN-31,https://srszyz.files.wordpress.com/2011/08/shanghai-museum.jpg
Mark Keppel High School,my lovely high school,34.069996,-118.116524,https://en.wikipedia.org/wiki/Mark_Keppel_High_School,https://scontent-lax3-1.xx.fbcdn.net/v/t1.0-9/60718_10151430274219505_156712474_n.jpg?_nc_cat=102&_nc_ohc=9mauQ2f2UxQAQmpSvtgEB7LwFrHamjZP0J8P1BsbMxtSjOMl9Bp4Y9mmA&_nc_ht=scontent-lax3-1.xx&oh=2826a1bb00dedb7f67c0276a00d79c3a&oe=5E80C710
Musikverein,where a new years concert I have been wanting to hear is held,48.200556,16.372222,https://en.wikipedia.org/wiki/Musikverein,https://www.wienersymphoniker.at/sites/default/files/styles/2_spaltig_full_width/public/venues/musikverein_wien_c_martina_draper.jpg?itok=c4LlGj4r
London,where my best friend at,51.507222,-0.1275,https://en.wikipedia.org/wiki/London,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Palace_of_Westminster_from_the_dome_on_Methodist_Central_Hall.jpg/2000px-Palace_of_Westminster_from_the_dome_on_Methodist_Central_Hall.jpg
Beirut,"capital of Lebanon, my dad's hometown",33.886944,35.513056,https://en.wikipedia.org/wiki/Beirut,https://253qv1sx4ey389p9wtpp9sj0-wpengine.netdna-ssl.com/wp-content/uploads/2019/09/Beirut_square_photocredit_shutterstock_1920x1280-700x461.jpg
